"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"410003";"410003";"45";"6";"2";"3441";"3162";"32";"6";"3124";"803";"111";"209";"71";"253";"326";"19";"451";"68";"4";"452";"205";"81";"70";"1";"-";"-"
"410004";"410004";"45";"6";"2";"2444";"2129";"24";"6";"2099";"703";"46";"125";"101";"119";"172";"3";"218";"66";"9";"261";"191";"49";"33";"3";"-";"-"
"410005";"410005";"45";"6";"2";"1266";"1094";"12";"5";"1077";"302";"19";"47";"58";"85";"70";"5";"114";"26";"0";"168";"136";"22";"25";"0";"-";"-"
"410006";"410006";"45";"6";"2";"2954";"2480";"44";"7";"2429";"807";"59";"114";"93";"200";"143";"6";"245";"55";"10";"285";"286";"77";"47";"2";"-";"-"
"410007";"410007";"45";"6";"2";"1467";"1289";"17";"4";"1268";"322";"37";"55";"67";"96";"69";"4";"134";"34";"0";"193";"174";"49";"33";"1";"-";"-"
"410008";"410008";"45";"6";"2";"2315";"1915";"37";"3";"1875";"625";"28";"64";"125";"93";"119";"6";"188";"51";"4";"238";"258";"51";"24";"1";"-";"-"
"410009";"410009";"45";"6";"2";"2053";"1705";"33";"7";"1665";"502";"23";"81";"102";"100";"115";"8";"136";"64";"4";"183";"273";"36";"36";"2";"-";"-"
"410010";"410010";"45";"6";"2";"2048";"1749";"31";"1";"1717";"535";"42";"69";"99";"116";"108";"5";"131";"53";"3";"242";"242";"35";"36";"1";"-";"-"
"410011";"410011";"45";"6";"2";"1190";"1008";"20";"2";"986";"277";"19";"47";"72";"56";"84";"3";"85";"39";"1";"117";"165";"18";"2";"1";"-";"-"
"411001";"411001";"28";"4";"1";"67";"62";"3";"0";"59";"19";"3";"5";"1";"8";"1";"1";"4";"0";"0";"2";"5";"3";"7";"0";"-";"-"
"420001";"420001";"44";"6";"2";"5371";"4298";"68";"19";"4211";"1643";"56";"191";"164";"249";"195";"18";"319";"132";"10";"612";"399";"131";"81";"11";"-";"-"
"420002";"420002";"44";"6";"2";"1247";"1090";"13";"3";"1074";"408";"11";"39";"57";"68";"37";"2";"76";"29";"1";"160";"134";"31";"21";"0";"-";"-"
"420003";"420003";"44";"6";"2";"623";"527";"12";"5";"510";"165";"8";"25";"19";"30";"29";"6";"45";"14";"0";"89";"55";"14";"10";"1";"-";"-"
"420004";"420004";"44";"6";"2";"693";"577";"7";"1";"569";"168";"8";"25";"28";"31";"47";"4";"45";"19";"0";"84";"76";"22";"11";"1";"-";"-"
"420005";"420005";"44";"6";"2";"3176";"2685";"47";"5";"2633";"894";"61";"118";"109";"148";"168";"8";"227";"73";"2";"428";"280";"69";"46";"2";"-";"-"
"420006";"420006";"44";"6";"2";"541";"450";"10";"5";"435";"131";"8";"20";"33";"15";"21";"5";"31";"16";"0";"58";"86";"5";"5";"1";"-";"-"
